,ts,imu_0,imu_1,imu_2,baro_0,baro_1,baro_2
175,3156951,1,0,1,0,0,0
176,3156961,1,0,1,0,0,0
177,3156971,1,0,1,0,0,0
178,3156981,1,0,1,0,0,0
179,3156991,1,0,1,0,0,0
180,3157001,1,0,1,0,0,0
181,3157011,1,0,1,0,0,0
182,3157021,1,0,1,0,0,0
183,3157031,1,0,1,0,0,0
184,3157041,1,0,1,0,0,0
185,3157051,1,0,1,0,0,0
186,3157061,1,0,1,0,0,0
187,3157071,1,0,1,0,0,0
188,3157081,1,0,1,0,0,0
189,3157091,1,0,1,0,0,0
190,3157101,1,0,1,0,0,0
191,3157111,1,0,1,0,0,0
192,3157121,1,0,1,0,0,0
193,3157131,1,0,1,0,0,0
194,3157141,1,0,1,0,0,0
195,3157151,1,0,1,0,0,0
196,3157161,1,0,1,0,0,0
197,3157171,1,0,1,0,0,0
198,3157181,1,0,1,0,0,0
199,3157191,1,0,1,0,0,0
200,3157201,1,0,1,0,0,0
201,3157211,1,0,1,0,0,0
202,3157221,1,0,1,0,0,0
203,3157231,1,0,1,0,0,0
204,3157241,1,0,1,0,0,0
205,3157251,1,0,1,0,0,0
206,3157261,1,0,1,0,0,0
207,3157271,1,0,1,0,0,0
208,3157281,1,0,1,0,0,0
209,3157291,1,0,1,0,0,0
210,3157301,1,0,1,0,0,0
211,3157311,1,0,1,0,0,0
212,3157321,1,0,1,0,0,0
213,3157331,1,0,1,0,0,0
214,3157341,1,0,1,0,0,0
215,3157351,1,0,1,0,0,0
216,3157361,1,0,1,0,0,0
217,3157371,1,0,1,0,0,0
218,3157381,1,0,1,0,0,0
219,3157391,1,0,1,0,0,0
220,3157401,1,0,1,0,0,0
221,3157411,1,0,1,0,0,0
222,3157421,1,0,1,0,0,0
223,3157431,1,0,1,0,0,0
224,3157441,1,0,1,0,0,0
225,3157451,1,0,1,0,0,0
226,3157461,1,0,1,0,0,0
227,3157471,1,0,1,0,0,0
228,3157481,1,0,1,0,0,0
229,3157491,1,0,1,0,0,0
230,3157501,1,0,1,0,0,0
231,3157511,1,0,1,0,0,0
232,3157521,1,0,1,0,0,0
233,3157531,1,0,1,0,0,0
234,3157541,1,0,1,0,0,0
235,3157551,1,0,1,0,0,0
236,3157561,1,0,1,0,0,0
237,3157571,1,0,1,0,0,0
238,3157581,1,0,1,0,0,0
239,3157591,1,0,1,0,0,0
240,3157601,1,0,1,0,0,0
241,3157611,1,0,1,0,0,0
242,3157621,1,0,1,0,0,0
243,3157631,1,0,1,0,0,0
244,3157641,1,0,1,0,0,0
245,3157651,1,0,1,0,0,0
246,3157661,1,0,1,0,0,0
247,3157671,1,0,1,0,0,0
248,3157681,1,0,1,0,0,0
249,3157691,1,0,1,0,0,0
250,3157701,1,0,1,0,0,0
251,3157711,1,0,1,0,0,0
252,3157721,1,0,1,0,0,0
253,3157731,1,0,1,0,0,0
254,3157741,1,0,1,0,0,0
255,3157751,1,0,1,0,0,0
256,3157761,1,0,1,0,0,0
257,3157771,1,0,1,0,0,0
258,3157781,1,0,1,0,0,0
259,3157791,1,0,1,0,0,0
260,3157801,1,0,1,0,0,0
261,3157811,1,0,1,0,0,0
262,3157821,1,0,1,0,0,0
263,3157831,1,0,1,0,0,0
264,3157841,1,0,1,0,0,0
265,3157851,1,0,1,0,0,0
266,3157861,1,0,1,0,0,0
267,3157871,1,0,1,0,0,0
268,3157881,1,0,1,0,0,0
269,3157891,1,0,1,0,0,0
270,3157901,1,0,1,0,0,0
271,3157911,1,0,1,0,0,0
272,3157921,1,0,1,0,0,0
273,3157931,1,0,1,0,0,0
274,3157941,1,0,1,0,0,0
275,3157951,1,0,1,0,0,0
276,3157961,1,0,1,0,0,0
277,3157971,1,0,1,0,0,0
278,3157981,1,0,1,0,0,0
279,3157991,1,0,1,0,0,0
280,3158001,1,0,1,0,0,0
281,3158011,1,0,1,0,0,0
282,3158021,1,0,1,0,0,0
283,3158031,1,0,1,0,0,0
284,3158041,1,0,1,0,0,0
285,3158051,1,0,1,0,0,0
286,3158061,1,0,1,0,0,0
287,3158071,1,0,1,0,0,0
288,3158081,1,0,1,0,0,0
289,3158091,1,0,1,0,0,0
290,3158101,1,0,1,0,0,0
291,3158111,1,0,1,0,0,0
292,3158121,1,0,1,0,0,0
293,3158131,1,0,1,0,0,0
294,3158141,1,0,1,0,0,0
295,3158151,1,0,1,0,0,0
296,3158161,1,0,1,0,0,0
297,3158171,1,0,1,0,0,0
298,3158181,1,0,1,0,0,0
299,3158191,1,0,1,0,0,0
300,3158201,1,0,1,0,0,0
301,3158211,1,0,1,0,0,0
302,3158221,1,0,1,0,0,0
303,3158231,1,0,1,0,0,0
304,3158241,1,0,1,0,0,0
305,3158251,1,0,1,0,0,0
306,3158261,1,0,1,0,0,0
307,3158271,1,0,1,0,0,0
308,3158281,1,0,1,0,0,0
309,3158291,1,0,1,0,0,0
310,3158301,1,0,1,0,0,0
311,3158311,1,0,1,0,0,0
312,3158321,1,0,1,0,0,0
313,3158331,1,0,1,0,0,0
314,3158341,1,0,1,0,0,0
315,3158351,1,0,1,0,0,0
316,3158361,1,0,1,0,0,0
317,3158371,1,0,1,0,0,0
318,3158381,1,0,1,0,0,0
319,3158391,1,0,1,0,0,0
320,3158401,1,0,1,0,0,0
321,3158411,1,0,1,0,0,0
322,3158421,1,0,1,0,0,0
323,3158431,1,0,1,0,0,0
324,3158441,1,0,1,0,0,0
325,3158451,1,0,1,0,0,0
326,3158461,1,0,1,0,0,0
327,3158471,1,0,1,0,0,0
328,3158481,1,0,1,0,0,0
329,3158491,1,0,1,0,0,0
330,3158501,1,0,1,0,0,0
331,3158511,1,0,1,0,0,0
332,3158521,1,0,1,0,0,0
333,3158531,1,0,1,0,0,0
334,3158541,1,0,1,0,0,0
335,3158551,1,0,1,0,0,0
336,3158561,1,0,1,0,0,0
337,3158571,1,0,1,0,0,0
338,3158581,1,0,1,0,0,0
339,3158591,1,0,1,0,0,0
340,3158601,1,0,1,0,0,0
341,3158611,1,0,1,0,0,0
342,3158621,1,0,1,0,0,0
343,3158631,1,0,1,0,0,0
344,3158641,1,0,1,0,0,0
345,3158651,1,0,1,0,0,0
346,3158661,1,0,1,0,0,0
347,3158671,1,0,1,0,0,0
348,3158681,1,0,1,0,0,0
349,3158691,1,0,1,0,0,0
350,3158701,1,0,1,0,0,0
351,3158711,1,0,1,0,0,0
352,3158721,1,0,1,0,0,0
353,3158731,1,0,1,0,0,0
354,3158741,1,0,1,0,0,0
355,3158751,1,0,1,0,0,0
356,3158761,1,0,1,0,0,0
357,3158771,1,0,1,0,0,0
358,3158781,1,0,1,0,0,0
359,3158791,1,0,1,0,0,0
360,3158801,1,0,1,0,0,0
361,3158811,1,0,1,0,0,0
362,3158821,1,0,1,0,0,0
363,3158831,1,0,1,0,0,0
364,3158841,1,0,1,0,0,0
365,3158851,1,0,1,0,0,0
366,3158861,1,0,1,0,0,0
367,3158871,1,0,1,0,0,0
368,3158881,1,0,1,0,0,0
369,3158891,1,0,1,0,0,0
370,3158901,1,0,1,0,0,0
371,3158911,1,0,1,0,0,0
372,3158921,1,0,1,0,0,0
373,3158931,1,0,1,0,0,0
374,3158941,1,0,1,0,0,0
375,3158951,1,0,1,0,0,0
376,3158961,1,0,1,0,0,0
377,3158971,1,0,1,0,0,0
378,3158981,1,0,1,0,0,0
379,3158991,1,0,1,0,0,0
380,3159001,1,0,1,0,0,0
381,3159011,1,0,1,0,0,0
382,3159021,1,0,1,0,0,0
383,3159031,1,0,1,0,0,0
384,3159041,1,0,1,0,0,0
385,3159051,1,0,1,0,0,0
386,3159061,1,0,1,0,0,0
387,3159071,1,0,1,0,0,0
388,3159081,1,0,1,0,0,0
389,3159091,1,0,1,0,0,0
390,3159101,1,0,1,0,0,0
391,3159111,1,0,1,0,0,0
392,3159121,1,0,1,0,0,0
393,3159131,1,0,1,0,0,0
394,3159141,1,0,1,0,0,0
395,3159151,1,0,1,0,0,0
396,3159161,1,0,1,0,0,0
397,3159171,1,0,1,0,0,0
398,3159181,1,0,1,0,0,0
399,3159191,1,0,1,0,0,0
400,3159201,1,0,1,0,0,0
401,3159211,1,0,1,0,0,0
402,3159221,1,0,1,0,0,0
403,3159231,1,0,1,0,0,0
404,3159241,1,0,1,0,0,0
405,3159251,1,0,1,0,0,0
406,3159261,1,0,1,0,0,0
407,3159271,1,0,1,0,0,0
408,3159281,1,0,1,0,0,0
409,3159291,1,0,1,0,0,0
410,3159301,1,0,1,0,0,0
411,3159311,1,0,1,0,0,0
412,3159321,1,0,1,0,0,0
413,3159331,1,0,1,0,0,0
414,3159341,1,0,1,0,0,0
415,3159351,1,0,1,0,0,0
416,3159361,1,0,1,0,0,0
417,3159371,1,0,1,0,0,0
418,3159381,1,0,1,0,0,0
419,3159391,1,0,1,0,0,0
