time,mag_x,mag_y,mag_z
-3.91179,-6.89729404,19.2823677,-30.1075554
-3.901599,-7.15883303,18.2676525,-29.4312172
-3.891599,-7.02867222,18.6059418,-28.7546387
-3.881399,-7.02743149,19.2823677,-30.4458427
-3.871399,-7.28770685,19.2823677,-30.4458427
-3.8612,-7.41915417,18.2676525,-30.1077976
-3.8512,-7.15883303,19.2825222,-29.7695084
-3.841003,-7.15883303,18.6059418,-29.0929279
-3.831003,-7.29028034,19.6209717,-29.7697506
-3.820806,-7.02743149,19.2823677,-30.1075554
-3.810806,-7.67676449,18.6056404,-29.7690239
-3.800607,-6.63584709,18.6056404,-29.7690239
-3.790607,-6.76715612,18.2675056,-30.1075554
-3.78041,-7.4178443,19.2823677,-29.769268
-3.77041,-7.15504265,19.282053,-29.0922203
-3.76022,-7.02743149,18.9440804,-29.4309807
-3.75022,-7.15756893,18.605793,-29.769268
-3.74002,-7.4178443,18.9440804,-29.0926952
-3.73002,-6.76715612,18.605793,-29.4309807
-3.719823,-7.02619123,18.2673569,-29.0924568
-3.709823,-7.02743149,17.9292183,-30.7841301
-3.69963,-7.03115511,18.9445419,-29.4316998
-3.68963,-7.02619123,18.6056404,-30.4455929
-3.67943,-6.8960762,18.943924,-30.1073093
-3.66943,-6.76596165,18.943924,-29.7690239
-3.659233,-6.89729404,18.605793,-29.769268
-3.649233,-7.02619123,19.2822094,-30.1073093
-3.63904,-7.02619123,18.6056404,-29.4307404
-3.62904,-7.02619123,19.2822094,-29.7690239
-3.618843,-7.02495098,17.9289265,-30.7836285
-3.608843,-7.4165349,18.6056404,-29.7690239
-3.598643,-6.63701868,19.2823677,-30.4458427
-3.588643,-7.29285622,17.9298019,-29.770237
-3.57845,-7.02743149,18.2675056,-29.769268
-3.56845,-6.50802994,18.2676525,-29.4312172
-3.558253,-7.28642035,19.2822094,-29.7690239
-3.548253,-7.15756893,18.9440804,-30.4458427
-3.538054,-7.28770685,18.9440804,-29.4309807
-3.528054,-6.37674332,18.2675056,-29.4309807
-3.517854,-7.02619123,18.6056404,-29.7690239
-3.507854,-6.89729404,18.605793,-29.4309807
-3.497663,-6.89729404,17.9292183,-29.769268
-3.487663,-7.02743149,18.605793,-30.4458427
-3.477464,-7.15504265,18.9437714,-29.7687836
-3.467464,-7.28770685,17.9292183,-29.4309807
-3.457264,-7.28513432,18.6054897,-29.4305019
-3.447264,-7.15630579,19.2822094,-29.7690239
-3.437067,-7.4165349,19.6204929,-30.4455929
-3.427067,-7.15630579,18.943924,-30.1073093
-3.416874,-7.15756893,19.2823677,-28.7544079
-3.406874,-7.15630579,18.2673569,-30.1073093
-3.396674,-7.02743149,19.2823677,-29.0926952
-3.386674,-7.4165349,18.943924,-30.4455929
-3.376483,-7.15756893,18.2675056,-29.4309807
-3.366483,-7.15630579,17.9290714,-29.4307404
-3.356284,-7.15756893,17.9292183,-30.4458427
-3.346284,-6.89485931,18.6054897,-29.7687836
-3.336084,-6.89972973,17.9295101,-28.7548733
-3.326084,-7.02743149,17.9292183,-30.1075554
-3.315893,-7.02743149,19.6206551,-29.4309807
-3.305893,-7.4178443,18.9440804,-30.7841301
-3.295694,-7.02743149,18.605793,-29.0926952
-3.285694,-7.15504265,17.5906448,-30.1070652
-3.275494,-7.28513432,19.282053,-29.7687836
-3.265494,-6.76715612,18.605793,-29.769268
-3.255298,-7.15883303,18.6059418,-30.1077976
-3.245104,-7.02743149,19.2823677,-29.769268
-3.235104,-7.15756893,18.605793,-30.1075554
-3.224904,-7.15630579,17.9290714,-29.4307404
-3.214904,-6.89729404,19.2823677,-30.4458427
-3.204708,-6.89729404,18.9440804,-29.0926952
-3.194708,-7.15756893,18.9440804,-29.4309807
-3.184514,-7.02743149,19.2823677,-30.7841301
-3.174514,-7.15756893,18.9440804,-29.4309807
-3.164314,-7.02743149,18.9440804,-30.1075554
-3.154314,-6.89851189,18.2676525,-29.4312172
-3.144123,-7.28899336,18.2676525,-30.4460869
-3.134123,-7.15883303,18.6059418,-29.7695084
-3.123924,-6.76835108,18.6059418,-29.7695084
-3.113924,-7.02867222,17.2527828,-29.4312172
-3.103727,-6.89972973,18.9443874,-30.4463367
-3.093727,-7.15756893,19.2823677,-29.4309807
-3.083525,-7.02619123,18.6056404,-30.1073093
