time,pressure
-4.990436,99590.625
-4.975442,99587.5312
-4.960442,99585.3047
-4.94542,99586.7891
-4.930435,99587.2812
-4.930435,99587.2812
-4.90044,99581.8281
-4.88544,99587.2266
-4.870439,99593.1172
-4.855439,99581.125
-4.840435,99586.2734
-4.840435,99586.2734
-4.810441,99593.1797
-4.79544,99583.8984
-4.78044,99583.9844
-4.765421,99581.5078
-4.750439,99587.8203
-4.750439,99587.8203
-4.720438,99590.2812
-4.703597,99584.3047
-4.690438,99583.4453
-4.67544,99580.4297
-4.66044,99584.5156
-4.66044,99584.5156
-4.630439,99585.4297
-4.615326,99583.2109
-4.600438,99584.9766
-4.583597,99586.3828
-4.570438,99585.7188
-4.570438,99585.7188
-4.54044,99587.8594
-4.52544,99585.3047
-4.510439,99586.5391
-4.495421,99583.4844
-4.48042,99585.3828
-4.48042,99585.3828
-4.450438,99585.8438
-4.435437,99589.4688
-4.420437,99583.5312
-4.405415,99586.0938
-4.390436,99587.7422
-4.390436,99587.7422
-4.360435,99588.5469
-4.343643,99586.7344
-4.330438,99586.7734
-4.315437,99586.8594
-4.300437,99586.3203
-4.300437,99586.3203
-4.270439,99591.3906
-4.255439,99585.7812
-4.240438,99587.2266
-4.223643,99586.6484
-4.210435,99586.4062
-4.210435,99586.4062
-4.180437,99589.4219
-4.163614,99588.8047
-4.150436,99586.7812
-4.135436,99580.6797
-4.120432,99588.5938
-4.120432,99588.5938
-4.090429,99588.2344
-4.075437,99585.9219
-4.060437,99586.2109
-4.045437,99586.5781
-4.03043,99587.2422
-4.03043,99587.2422
-4.000435,99587.1016
-3.983591,99584.1328
-3.970429,99584.625
-3.955434,99585.4531
-3.940434,99585.7812
-3.940434,99585.7812
-3.910427,99588.2891
-3.895433,99584.4531
-3.880435,99585.7344
-3.863591,99584.4531
-3.850432,99586.3516
-3.850432,99586.3516
-3.820434,99580.3047
-3.805434,99582.1172
-3.790433,99582.6562
-3.775433,99583.6016
-3.760432,99582.4922
-3.760432,99582.4922
-3.730426,99580.7656
-3.715395,99581.5469
-3.700434,99586.9531
-3.685434,99583.1953
-3.670433,99585.5859
-3.670433,99585.5859
-3.640432,99586.7578
-3.623588,99582.5156
-3.610435,99584.5781
-3.595434,99586.8828
-3.580434,99584.7422
-3.580434,99584.7422
-3.550433,99590.3828
-3.535433,99587.7812
-3.520432,99586.3828
-3.503661,99587.5391
-3.490432,99583.8672
-3.490432,99583.8672
-3.460431,99585.3594
-3.445336,99584.7031
-3.43043,99582.6797
-3.415433,99583.5859
-3.400429,99582.7188
-3.400429,99582.7188
-3.370432,99585.1875
-3.355425,99584.7344
-3.340431,99583.125
-3.323654,99586.8828
-3.310433,99583.9141
