time,dynamic_pressure,airspeed,airspeed_calibrated
-2.491535,-94.2930984,10.6274233,12.7439465839047+0i
-2.467535,-55.6055984,12.7731171,9.78680931437555+0i
-2.443535,-74.9493484,9.80910397,11.3619272667332+0i
-2.419535,-65.2696609,11.388422,10.6031771219072+0i
-2.395373,-55.6055984,10.6276112,9.78675535393281+0i
-2.371535,-74.9493484,9.80925846,11.3618232292001+0i
-2.347532,-84.6134109,11.3881903,12.0722483917234+0i
-2.323535,-84.6134109,12.1001921,12.0719197200344+0i
-2.299535,-65.2696609,12.1001511,10.6034022671419+0i
-2.275361,-65.2696609,10.6273966,10.603425392047+0i
-2.251532,-65.2696609,10.6275749,10.6034263898512+0i
-2.227535,-84.6134109,10.6274099,12.0723861123717+0i
-2.203532,-74.9493484,12.1001997,11.3620547822807+0i
-2.179535,-65.2696609,11.3881264,10.6030713508587+0i
-2.155361,-65.2696609,10.6273832,10.6032138927361+0i
-2.131532,-74.9493484,10.6275225,11.3619934551398+0i
-2.107532,-84.6134109,11.388257,12.0719240355209+0i
-2.083532,-94.2930984,12.1000233,12.7440903751518+0i
-2.059532,-84.6134109,12.7737818,12.0726250281684+0i
-2.03537,-65.2696609,12.100276,10.6033335878219+0i
-2.011532,-65.2696609,10.6275358,10.6030316276456+0i
-1.987532,-65.2696609,10.6273098,10.6030653505376+0i
-1.963532,-84.6134109,10.6274204,12.0723017083138+0i
-1.939535,-74.9493484,12.1001539,11.3624823581698+0i
-1.915343,-84.6134109,11.3882046,12.0724497290912+0i
-1.891529,-65.2696609,12.1001396,10.6033782142214+0i
-1.867526,-74.9493484,10.6275568,11.3621070810245+0i
-1.843532,-74.9493484,11.3881998,11.3620990752898+0i
-1.819532,-74.9493484,11.3883524,11.3621742492096+0i
-1.795358,-84.6134109,11.3882914,12.0725442301472+0i
-1.771532,-65.2696609,12.1002932,10.6032361076555+0i
-1.747532,-84.6134109,10.627429,12.0721532417062+0i
-1.723532,-74.9493484,12.1000166,11.3618383798849+0i
-1.699532,-65.2696609,11.3883009,10.6029244629953+0i
-1.67537,-84.6134109,10.6273708,12.07241556503+0i
-1.651529,-65.2696609,12.1000977,10.6033277435183+0i
-1.627529,-65.2696609,10.6273546,10.6029820980445+0i
-1.603529,-84.6134109,10.6273546,12.0718518963537+0i
-1.579529,-74.9493484,12.1002741,11.3621185179394+0i
-1.555358,-74.9493484,11.3883171,11.3623094329067+0i
-1.531529,-74.9493484,11.388238,11.3622135201297+0i
-1.507529,-65.2696609,11.3881979,10.6030798944383+0i
-1.483529,-74.9493484,10.6273613,11.3621388721048+0i
-1.459532,-65.2696609,11.3881407,10.6033471734414+0i
-1.435355,-65.2696609,10.6273661,10.6031311089441+0i
-1.411529,-74.9493484,10.627305,11.3621454375304+0i
-1.387529,-65.2696609,11.3883228,10.6029301649543+0i
-1.363529,-55.6055984,10.6273184,9.78697104718659+0i
-1.339529,-74.9493484,9.80908108,11.3620209952917+0i
-1.315328,-65.2696609,11.3882027,10.602875616569+0i
-1.291529,-74.9493484,10.6274738,11.3619229394865+0i
-1.267529,-65.2696609,11.3881865,10.6033107067351+0i
-1.243529,-84.6134109,10.6275234,12.0725545787327+0i
-1.219529,-74.9493484,12.1002455,11.3621927785825+0i
-1.195355,-84.6134109,11.3882895,12.072487899302+0i
-1.171523,-65.2696609,12.1001797,10.6030382668133+0i
-1.14752,-84.6134109,10.6274672,12.0720863314351+0i
-1.123529,-65.2696609,12.0999136,10.6034106385424+0i
-1.099529,-36.2618484,10.6274519,7.90383813405714+0i
-1.075355,-7.25403595,7.92118311,3.53524358313443+0i
-1.051526,2.41783905,3.54293418,0+2.04096035963792i
-1.027526,-16.9180984,2.04545331,5.39874499654091+0i
-1.003526,-16.9180984,5.41062069,5.39890676196678+0i
-0.979529,-16.9180984,5.41069603,5.39872206368288+0i
-0.955358,-16.9180984,5.41068172,5.3988503039426+0i
-0.931526,-16.9180984,5.41065359,5.39878220599067+0i
-0.907526,-7.25403595,5.41059732,3.5352417608977+0i
-0.883526,-26.5977859,3.54289889,6.76925797750266+0i
-0.859526,2.41783905,6.78412628,0+2.04103630180584i
-0.835355,-26.5977859,2.04543114,6.7692570590022+0i
-0.811526,-7.25403595,6.78411198,3.53522788148435+0i
-0.787517,-7.25403595,3.54299736,3.53520920556082+0i
-0.763526,-16.9180984,3.54293036,5.39870084305255+0i
-0.739526,-7.25403595,5.41060019,3.53521089570299+0i
-0.715312,-7.25403595,3.54294252,3.53515932344971+0i
-0.691523,2.41783905,3.54298425,0+2.04098618031273i
-0.667523,-7.25403595,2.04538703,3.53518932479903+0i
-0.643526,-16.9180984,3.54288149,5.3988290634341+0i
-0.619526,-16.9180984,5.41069078,5.39869997079507+0i
-0.595364,-16.9180984,5.41049671,5.39874942561619+0i
-0.571526,-7.25403595,5.41064358,3.53517562227552+0i
-0.547523,-16.9180984,3.54292417,5.39874991990663+0i
-0.523523,-7.25403595,5.41068459,3.53515935695854+0i
-0.499523,-7.25403595,3.54292893,3.53517285874022+0i
-0.475349,2.41783905,3.54292893,0+2.04103385226465i
-0.451523,-16.9180984,2.04544425,5.39882918154113+0i
-0.427523,-26.5977859,5.41066456,6.76910348794737+0i
-0.40352,-26.5977859,6.78413486,6.76928428641911+0i
-0.379517,-84.6134109,6.7840991,12.0722780783475+0i
-0.355352,-65.2696609,12.1002016,10.6029833846587+0i
-0.331523,-84.6134109,10.6274633,12.072193934805+0i
-0.307523,-55.6055984,12.1002092,9.78648842625031+0i
-0.283523,-65.2696609,9.80919456,10.602997105188+0i
-0.259523,-74.9493484,10.6274071,11.3623008540844+0i
-0.235361,-65.2696609,11.3882332,10.6028893308468+0i
-0.211523,-74.9493484,10.6275635,11.3619237126793+0i
-0.18752,-65.2696609,11.3882961,10.6025290088955+0i
-0.163523,-55.6055984,10.6273594,9.78484711036427+0i
-0.139523,-26.5977859,9.80862999,6.76877006612026+0i
