time,pressure
-4.981552,99901.6719
-4.981552,99901.6719
-4.957455,99882.3281
-4.933455,99882.3281
-4.883547,99930.6875
-4.883547,99930.6875
-4.861452,99882.3281
-4.837452,99862.9844
-4.813452,99872.6641
-4.76352,99872.6641
-4.76352,99872.6641
-4.741452,99882.3281
-4.717452,99882.3281
-4.693452,99872.6641
-4.645366,99901.6719
-4.645366,99901.6719
-4.621452,99921.0234
-4.597452,99882.3281
-4.573452,99892.0078
-4.523602,99901.6719
-4.523602,99901.6719
-4.501449,99882.3281
-4.477449,99882.3281
-4.453452,99911.3438
-4.429449,99862.9844
-4.381546,99892.0078
-4.381546,99892.0078
-4.357449,99872.6641
-4.333449,99882.3281
-4.309449,99950.0312
-4.261546,99901.6719
-4.261546,99901.6719
-4.237449,99930.6875
-4.213449,99930.6875
-4.163526,99882.3281
-4.163526,99882.3281
-4.141446,99940.3516
-4.11744,99901.6719
-4.09344,99882.3281
-4.043541,99872.6641
-4.043541,99872.6641
-4.021446,99872.6641
-3.997449,99930.6875
-3.973449,99940.3516
-3.92536,99882.3281
-3.92536,99882.3281
-3.901446,99921.0234
-3.877446,99901.6719
-3.853446,99872.6641
-3.805348,99872.6641
-3.805348,99872.6641
-3.781446,99882.3281
-3.75743,99930.6875
-3.733437,99872.6641
-3.683538,99921.0234
-3.683538,99921.0234
-3.661446,99892.0078
-3.637446,99882.3281
-3.613446,99901.6719
-3.563535,99872.6641
-3.563535,99872.6641
-3.541443,99872.6641
-3.517446,99892.0078
-3.493446,99882.3281
-3.469443,99882.3281
-3.443443,99892.0078
-3.421443,99882.3281
-3.397443,99921.0234
-3.373437,99882.3281
-3.323565,99940.3516
-3.30154,99882.3281
-3.30154,99882.3281
-3.277443,99911.3438
-3.253443,99950.0312
-3.20351,99930.6875
-3.20351,99930.6875
-3.181443,99940.3516
-3.157443,99950.0312
-3.133443,99901.6719
-3.109443,99950.0312
-3.061537,99911.3438
-3.061537,99911.3438
-3.03744,99959.6953
-3.013434,99940.3516
-2.963514,99959.6953
-2.963514,99959.6953
-2.94144,99901.6719
-2.91744,99921.0234
-2.893443,99950.0312
-2.869443,99911.3438
-2.845281,99940.3516
-2.82144,99959.6953
-2.79744,99882.3281
-2.77344,99921.0234
-2.723535,99882.3281
-2.701537,99882.3281
-2.701537,99882.3281
-2.67744,99901.6719
-2.65344,99882.3281
-2.605302,99892.0078
-2.605302,99892.0078
-2.581437,99930.6875
-2.55744,99921.0234
-2.53344,99882.3281
-2.483544,99930.6875
-2.483544,99930.6875
-2.46144,99950.0312
-2.43744,99892.0078
-2.41344,99940.3516
-2.36359,99911.3438
-2.36359,99911.3438
-2.341437,99901.6719
-2.317437,99940.3516
-2.293437,99911.3438
-2.243529,99901.6719
-2.243529,99901.6719
-2.221437,99911.3438
-2.19744,99911.3438
-2.173437,99921.0234
-2.123538,99930.6875
-2.101531,99930.6875
-2.101531,99930.6875
-2.077434,99959.6953
-2.053437,99911.3438
-2.005339,99892.0078
-1.981534,99921.0234
-1.981534,99921.0234
-1.957434,99940.3516
-1.933437,99950.0312
-1.885339,99892.0078
-1.885339,99892.0078
-1.861406,99921.0234
-1.837434,99921.0234
-1.813434,99921.0234
-1.763523,99892.0078
-1.763523,99892.0078
-1.741434,99862.9844
-1.717434,99930.6875
-1.693434,99911.3438
-1.643529,99892.0078
-1.643529,99892.0078
-1.62143,99911.3438
-1.597434,99882.3281
-1.573434,99892.0078
-1.525327,99872.6641
-1.525327,99872.6641
-1.501424,99921.0234
-1.477434,99892.0078
-1.453434,99882.3281
-1.429434,99930.6875
-1.381528,99892.0078
-1.381528,99892.0078
-1.35743,99892.0078
-1.333434,99872.6641
-1.30943,99882.3281
-1.261528,99882.3281
-1.261528,99882.3281
-1.23743,99892.0078
-1.21343,99892.0078
-1.163023,99950.0312
-1.163023,99950.0312
-1.14143,99901.6719
-1.117427,99940.3516
-1.09343,99940.3516
-1.045345,99882.3281
-1.045345,99882.3281
-1.02143,99872.6641
-0.99743,99892.0078
-0.97343,99872.6641
-0.923526,99901.6719
-0.923526,99901.6719
-0.90143,99940.3516
-0.877427,99930.6875
-0.853427,99892.0078
-0.803523,99911.3438
-0.803523,99911.3438
-0.7814,99940.3516
-0.757427,99921.0234
-0.733427,99901.6719
-0.685342,99882.3281
-0.685342,99882.3281
-0.661424,99882.3281
-0.637427,99862.9844
-0.613427,99921.0234
-0.565315,99930.6875
-0.565315,99930.6875
-0.541427,99892.0078
-0.517427,99911.3438
-0.493427,99950.0312
-0.469427,99872.6641
-0.445232,99892.0078
-0.421424,99901.6719
-0.397397,99892.0078
-0.373412,99930.6875
-0.32351,99892.0078
-0.301522,99901.6719
-0.301522,99901.6719
-0.277424,99911.3438
-0.253424,99872.6641
-0.20529,99882.3281
-0.20529,99882.3281
-0.181424,99892.0078
-0.157424,99959.6953
-0.133424,99930.6875
-0.109424,99998.3828
-0.061522,100066.055
-0.061522,100066.055
-0.037415,99940.3516
-0.013415,99998.3828
0.036541,100017.727
0.036541,100017.727
0.058579,99998.3828
0.082579,99950.0312
0.106576,99979.0391
0.130576,99988.7031
0.154749,99969.375
0.178576,99940.3516
0.202579,99950.0312
0.226576,99969.375
0.275075,99940.3516
0.298481,99930.6875
0.298481,99930.6875
0.322579,99901.6719
0.346606,99843.6562
0.396511,99892.0078
0.396511,99892.0078
0.418579,99882.3281
0.442582,99853.3203
0.466579,99814.6562
0.515078,99824.3125
0.515078,99824.3125
0.538582,99824.3125
0.562579,99824.3125
0.586579,99833.9766
0.634725,99833.9766
0.634725,99833.9766
0.658582,99795.3125
0.682582,99756.625
0.706582,99766.3047
0.754716,99756.625
0.754716,99756.625
0.778582,99737.2812
0.802582,99688.9453
0.826582,99708.2734
0.874728,99698.6094
0.898484,99630.9141
0.898484,99630.9141
0.922582,99650.2578
0.946582,99630.9141
0.996486,99621.2422
1.018496,99640.5859
1.018496,99640.5859
1.042582,99592.25
1.066582,99572.9062
1.11648,99495.5391
