time,temperature
-4.984533,58.2851562
-4.964483,58.28125
-4.944274,58.3222656
-4.924486,58.2832031
-4.904551,58.3027344
-4.884349,58.2382812
-4.864454,58.2519531
-4.844498,58.2851562
-4.824499,58.2734375
-4.804477,58.2617188
-4.784551,58.2675781
-4.764324,58.2441406
-4.744502,58.2851562
-4.724492,58.2695312
-4.704524,58.2890625
-4.684519,58.296875
-4.664493,58.2675781
-4.644154,58.28125
-4.624551,58.265625
-4.60451,58.3066406
-4.584499,58.2910156
-4.56448,58.3046875
-4.544499,58.2695312
-4.524376,58.2832031
-4.504481,58.2910156
-4.484498,58.328125
-4.464225,58.2265625
-4.44451,58.2773438
-4.424518,58.3164062
-4.404135,58.3046875
-4.384548,58.2871094
-4.364403,58.2851562
-4.344548,58.28125
-4.324458,58.2617188
-4.304521,58.2441406
-4.284144,58.2402344
-4.264506,58.3027344
-4.244461,58.2539062
-4.224548,58.3105469
-4.204458,58.3125
-4.184496,58.2558594
-4.164516,58.25
-4.144548,58.3144531
-4.124467,58.2792969
-4.104487,58.3046875
-4.084489,58.2949219
-4.064438,58.2851562
-4.044346,58.2480469
-4.024527,58.2304688
-4.004458,58.2832031
-3.984518,58.2851562
-3.964507,58.2890625
-3.944518,58.2871094
-3.924242,58.2890625
-3.904545,58.2832031
-3.884516,58.2460938
-3.864499,58.3027344
-3.844455,58.2597656
-3.824527,58.3007812
-3.804227,58.2441406
-3.784515,58.2890625
-3.76451,58.3046875
-3.744274,58.3105469
-3.724477,58.2558594
-3.704539,58.2871094
-3.684339,58.265625
-3.664475,58.2675781
-3.644507,58.2734375
-3.624493,58.2578125
-3.604455,58.2539062
-3.584527,58.328125
-3.564336,58.2773438
-3.544515,58.2578125
-3.524474,58.2363281
-3.504542,58.2558594
-3.484492,58.2773438
-3.464426,58.2480469
-3.444245,58.2871094
-3.424542,58.2832031
-3.404477,58.2734375
-3.384536,58.2851562
-3.364394,58.2675781
-3.344493,58.2695312
-3.324538,58.2949219
-3.304512,58.2792969
-3.284452,58.2832031
-3.264207,58.3027344
-3.244556,58.3535156
-3.224512,58.2675781
-3.204312,58.2734375
-3.184521,58.2597656
-3.164397,58.2871094
-3.144542,58.2480469
-3.124446,58.2910156
-3.104512,58.2714844
-3.084129,58.2949219
-3.064484,58.2382812
-3.044452,58.328125
-3.024466,58.3359375
-3.00448,58.265625
