time,pressure
1.558489,98547.5234
1.582489,98481.0312
1.606489,98455.0078
1.630489,98426.4688
1.656924,98420.5078
1.678489,98352.0938
1.702489,98285.125
1.726489,98272.6875
1.750489,98190.3438
1.776951,98186.2266
1.798489,98190.5703
1.822489,98145.3906
1.846492,98075.0234
1.870492,97967.0859
1.896582,97984.3828
1.918492,97962.5547
1.942492,97906.9844
1.966492,97886.0469
1.990492,97835.0625
2.016921,97759.8672
2.038492,97715.2422
2.062492,97667.6172
2.086495,97610.7578
2.110495,97571.5938
2.136461,97515.1484
2.158495,97462.3828
2.182492,97437.0547
2.206492,97417.6328
2.230492,97362.1797
2.254806,97291.2969
2.278495,97224.1953
2.302492,97202.6875
2.326492,97151.6719
2.350495,97085.5625
2.376625,97036.8594
2.398495,97034.4219
2.422495,97011.5859
2.446495,96910.5703
2.470495,96778.4062
2.4965,96726.3906
2.518495,96710.1719
2.542495,96623.1016
2.566495,96627.8359
2.590495,96541.8047
2.616497,96523.8906
2.638495,96445.8125
2.662495,96410.1172
2.686495,96362.9375
2.710495,96233.4531
2.734675,96286
2.758495,96120.6484
2.782501,96080.6016
2.806501,96028.6719
2.830498,95935.2812
2.856924,95921.5312
2.878498,95784.625
2.902498,95791.4141
2.926495,95673.7109
2.950495,95704.1406
2.976942,95578.5469
2.998498,95554.1094
3.022498,95584.6562
3.046498,95536.25
3.070498,95384.0078
3.096631,95390.0156
3.118501,95267.7422
3.142501,95329.7266
3.166498,95228.3984
3.190498,95182.4766
3.215165,95125.7031
3.238498,95068.3828
3.262501,94938.4062
3.286498,94832.0234
3.310498,94735.8984
3.334812,94685.6875
3.358501,94574.2188
3.382501,94491.4609
3.406498,94292.1094
3.430498,94195.8906
3.454803,94027.6484
3.478501,94014.6797
3.50251,93882.3672
3.526501,93821.2656
3.550501,93554.9062
3.576646,93527.9688
3.598504,93508.4609
3.622501,93412.1484
3.646501,93330.1484
3.670501,93285.1875
3.696503,93192.1406
3.718507,93046.75
3.742504,92984.9844
3.766501,92868.4062
3.790504,92767.25
3.815156,92666.8516
3.838504,92648.2109
3.862504,92506.5391
3.886501,92404.1016
3.910501,92362.6719
3.936582,92260.7188
3.958504,92196.5938
3.982504,92043.5781
4.006504,92031.3828
4.030504,91921.8047
4.056454,91802.8359
4.078504,91751.4922
4.102504,91680.8125
4.126504,91550.1562
4.150504,91489.1484
4.176939,91427.0781
4.198507,91233.2969
4.222504,91219.0703
4.246504,91177.5078
4.270504,91107.3203
4.296643,90990.3047
4.318507,90961.7578
4.342504,90842.2812
4.366504,90790.9141
4.390504,90738.4062
4.416951,90635.9062
4.438507,90521.8203
4.462507,90434.3906
4.486507,90393.6953
4.510507,90305.4062
4.536518,90223.8125
4.55851,90165.2578
4.582507,90053.3672
4.606507,90006.9141
4.630507,89872.9219
4.656653,89793.5859
4.678507,89685.2031
4.702507,89629.8438
4.726507,89554.4375
4.750507,89487.1172
4.776653,89433.8047
4.798507,89363.0312
4.822507,89223.2969
4.846507,89220.8359
4.870507,89134.4609
4.896924,89030.2656
4.918522,88925.1719
4.94251,88933.5312
4.96651,88734.2031
4.99051,88742.3984
5.01665,88720.1016
5.03851,88632.7422
5.06251,88505.7812
5.086507,88476.7422
5.110507,88389.0234
5.135193,88271.1406
5.158513,88256.1562
5.18251,88151
5.20651,88050.4062
5.23051,87995.4219
5.256397,87920.0391
5.278522,87902.6406
5.302525,87783.7422
5.32651,87764.1719
5.35051,87645.1562
5.376957,87607.4141
5.398513,87532.8906
5.422513,87461.0781
5.44651,87357.6016
5.470513,87288.8672
5.495181,87212.7891
5.518513,87186.2891
5.542513,87080.5391
5.56651,86984.4688
5.59051,86943.3359
5.61536,86914.0234
5.638513,86817.2188
5.662513,86717.0469
5.686513,86666.6328
5.710513,86555.1562
5.734702,86508.7266
5.758513,86474.6328
5.782513,86404.8203
5.806513,86296.9141
5.830513,86286.9766
5.856656,86154.8203
5.878516,86139.125
5.902516,86088.4062
5.926513,85967.8281
5.950516,85893.7031
5.977021,85849.125
5.998522,85742.4844
6.022513,85737.1484
6.046513,85655.1641
6.070513,85528.4766
6.096963,85481.2891
6.118519,85442.6016
6.142516,85358.9609
6.166516,85336.6094
6.190516,85240.1484
6.216464,85199.0234
6.238516,85128.8594
6.262516,85043.625
6.286516,85193.7266
6.310516,85360.1406
6.336461,85404.7734
6.358519,85384.3047
6.382519,85233.4688
6.406519,85280.3984
6.430519,85046.6719
6.456363,84889.7109
6.478519,84927.25
6.502519,84874.6562
6.526516,84667.7266
6.550516,84575.6641
6.577012,84480.2422
6.598519,84384.6875
6.622519,84230.0859
6.646519,84285.9141
6.670519,84206.9922
6.695178,84116.7734
6.718519,84089.5703
6.742519,84097.2969
6.766519,83879.7578
6.790519,83850.7266
6.816525,83635.8984
6.838522,83679.625
6.862522,83659.1094
6.886519,83544.5781
6.910522,83529.7656
6.935263,83388.2969
6.958522,83449.3281
6.982522,83384.2734
7.006528,83253.8984
7.030525,83170.2109
7.054824,83134.2344
7.078522,83050.7188
7.102522,83042.0078
7.126522,82968.9297
7.150522,82901.7188
7.17661,82816.6328
7.198522,82780.6016
7.222522,82733.3984
7.246522,82717.4141
7.270522,82589.5078
7.296976,82537.7109
7.318525,82548.7344
7.342525,82394.9297
7.366531,82369.0781
7.390525,82340.5469
7.416656,82207.4688
7.438522,82305.2266
7.462525,82096.7422
7.486522,82040.9062
7.510522,82083.5234
7.536,81976.6875
7.558525,82025.8203
7.582525,82005.5781
7.606525,81954.6328
7.630525,81820.4297
7.656921,81768.3203
7.678525,81752.0859
7.702531,81637.7734
7.726531,81604.8281
7.750525,81521.4531
7.777009,81426.4766
7.798525,81417.1953
7.822525,81307.7812
7.846525,81293.2266
7.870525,81401.4609
7.896671,81170.7812
7.918528,81132.0078
7.942528,81198.1797
7.966525,81047.1172
7.990528,80994.1719
8.016973,80968.8281
8.038531,80890.375
8.062534,80782.0312
8.086534,80876.4922
